id,city_id,delegation_city_id,first_name,last_name,email,password_hash,password_salt,priority
ZS81114,1,,Zephr,Solomon,zephr.solomon81114@example.com,b'$2b$06$7blG0eftxNdGe.jRd.hj5OlflStM6qoBON4xrdHcjxv61eKXlGTWK',b'$2b$06$7blG0eftxNdGe.jRd.hj5O',5
LO62960,1,,Liberty,Oneil,liberty.oneil62960@example.com,b'$2b$06$3ur7fzdEON/lh6vLj4PMGu6.8Qo18F23AQ9v83mRf2SiKpMZxe1G2',b'$2b$06$3ur7fzdEON/lh6vLj4PMGu',5
HL65949,1,,Hanna,Leonard,hanna.leonard65949@example.com,b'$2b$06$MN.6iukDBj7VzTTpXFeka.IHSy7MsfrS/iUL4qzxnmM.JikvaFTAy',b'$2b$06$MN.6iukDBj7VzTTpXFeka.',5
JE30773,1,,Jane,England,jane.england30773@example.com,b'$2b$06$HhIrAWnqoCUDgj2NKR1IIemJANw0jMA7uH3Lp6FYdqRR3TtrAWS4q',b'$2b$06$HhIrAWnqoCUDgj2NKR1IIe',5
BC77622,1,,Bruno,Cooley,bruno.cooley77622@example.com,b'$2b$06$6mP/GuJajCOmfbuw/LiutOqJfRGox.pdlLqHCIdKgpMZkLftg8zJq',b'$2b$06$6mP/GuJajCOmfbuw/LiutO',5
CE41253,1,,Cameron,Edwards,cameron.edwards41253@example.com,b'$2b$06$wvRqGSdPlc1vOACWYl3j4OT4Xm.87skV5DJGmJ4kivPY6st6ergKO',b'$2b$06$wvRqGSdPlc1vOACWYl3j4O',5
AD91394,1,,Aileen,Duran,aileen.duran91394@example.com,b'$2b$06$GDNn8sfKk/c81ItMf/C/q.2geYDFMuCgXvfziVRmfw/enzRd9PKvq',b'$2b$06$GDNn8sfKk/c81ItMf/C/q.',1
PS43556,1,,Portia,Snow,portia.snow43556@example.com,b'$2b$06$Zge2.nsue5y/avY6kadY/e2hIsDXJJT8WQBRVBcZH1TOMJnCRzR2a',b'$2b$06$Zge2.nsue5y/avY6kadY/e',5
DR00550,1,21,Daquan,Rios,daquan.rios00550@example.com,b'$2b$06$QWbcrR3VRFQ2Kk2LNliLOeZGoRJVGcjD1cemPK1mRlAJ9Ujh317vC',b'$2b$06$QWbcrR3VRFQ2Kk2LNliLOe',4
MB20244,1,,Maxwell,Bailey,maxwell.bailey20244@example.com,b'$2b$06$.y3aAysAHzZ9ixckRsJ8NOqisJPyVUbM0YO4zJUkZdoz/IhKZFmze',b'$2b$06$.y3aAysAHzZ9ixckRsJ8NO',3
GB95288,1,,Gregory,Buckley,gregory.buckley95288@example.com,b'$2b$06$U8Of/rbXnp2J7mD0ayPm/.sInOO41k3VInP3CHf0Oj4DYLvT2WB96',b'$2b$06$U8Of/rbXnp2J7mD0ayPm/.',5
GJ95953,1,,Garrett,Johnson,garrett.johnson95953@example.com,b'$2b$06$HOGpPcEto6sYXXEvrDGBruTfNBYANzugGFqXMMY8Room1ja8YYZf.',b'$2b$06$HOGpPcEto6sYXXEvrDGBru',3
VJ27596,1,,Victoria,Jacobs,victoria.jacobs27596@example.com,b'$2b$06$jx9ZqojhTqhOsHKFWihNDupymYsspC9irdUsFAgqhIR3EbFs5TpZS',b'$2b$06$jx9ZqojhTqhOsHKFWihNDu',5
SH76044,1,,Slade,Haney,slade.haney76044@example.com,b'$2b$06$rPgWyzKB1zcefuIE.FHDBOfgHzXlW3hO086DpG8.O9Xmx3H7PeFGS',b'$2b$06$rPgWyzKB1zcefuIE.FHDBO',3
RH51923,1,59,Ramona,Huffman,ramona.huffman51923@example.com,b'$2b$06$wLO0MGeV8YFIqAEyKdecUeLZxhKsYtNr2HE8LDHRS4TzBT9r0DB/W',b'$2b$06$wLO0MGeV8YFIqAEyKdecUe',5
GO05746,1,,Gregory,O'brien,gregory.o'brien05746@example.com,b'$2b$06$s1jDU7QB1IZK8leR697OVucVVqRxy31bnAxSnnJdBWJQDvWMRFt76',b'$2b$06$s1jDU7QB1IZK8leR697OVu',5
AS00219,1,,Allistair,Soto,allistair.soto00219@example.com,b'$2b$06$YfZrgIc5HjAF1AkMzs9qD.wsDU6aJijQz1b4KwWL7fXIp99ajxb.G',b'$2b$06$YfZrgIc5HjAF1AkMzs9qD.',1
LA23182,1,,Leandra,Alvarado,leandra.alvarado23182@example.com,b'$2b$06$/EYlysgPVwC12PXwjRm2OefxX3esMsbf.5Y2OANx96HsnzTFvqEt6',b'$2b$06$/EYlysgPVwC12PXwjRm2Oe',4
TB85625,1,,Tyler,Barrett,tyler.barrett85625@example.com,b'$2b$06$ZV53VaPOpiJRAb4PmrQbqOPAif0TZqrlqnX7S7VddYe1jOpWwReUC',b'$2b$06$ZV53VaPOpiJRAb4PmrQbqO',5
DF04722,1,,Duncan,Farmer,duncan.farmer04722@example.com,b'$2b$06$/uF0pv9CQX9KE2aeiDB09ePALh80fTaon/E8WtPLXxJDaIEyn8JGG',b'$2b$06$/uF0pv9CQX9KE2aeiDB09e',1
BW19157,1,,Bethany,Webb,bethany.webb19157@example.com,b'$2b$06$.UTfatwwiV81Eh1KJ7K8W.2mbaW8UrrI0dq7GO4etIr.zfuOlSEBC',b'$2b$06$.UTfatwwiV81Eh1KJ7K8W.',3
ZG67489,1,,Zeph,Glass,zeph.glass67489@example.com,b'$2b$06$CjpICB3wRvQiTMkruDT0SOXuFmQCq7NIEhIlaH8ErwR3sD2EljXmq',b'$2b$06$CjpICB3wRvQiTMkruDT0SO',4
RS93415,1,,Ross,Schultz,ross.schultz93415@example.com,b'$2b$06$m5ZBV2pKxLCy4bxzy0jXheGLfPoqfsRMnmbtJeE4adZE2JRhncnW.',b'$2b$06$m5ZBV2pKxLCy4bxzy0jXhe',5
LM33531,1,,Lila,Mcleod,lila.mcleod33531@example.com,b'$2b$06$d/3Xf5bPCFAxBydz7Lm2rem8ysrADwfnaQ1IbzRzHOHR6lxSQFJiS',b'$2b$06$d/3Xf5bPCFAxBydz7Lm2re',1
OG43165,1,,Ocean,Glass,ocean.glass43165@example.com,b'$2b$06$auXVd14pCs983lVsUWNlyueZryW9qmc8TUKRHUeJGirell7kEjmce',b'$2b$06$auXVd14pCs983lVsUWNlyu',2
PJ95344,1,,Philip,Joyner,philip.joyner95344@example.com,b'$2b$06$3SYXT4PngnsEnG6k/Yf90eMv/uK4HDKO2.Y5c2oNvpUsD/QEBdIUm',b'$2b$06$3SYXT4PngnsEnG6k/Yf90e',5
CP67834,1,,Clinton,Pickett,clinton.pickett67834@example.com,b'$2b$06$05fbAFxla7IeT886lZ1rF.HUFPo6nfxeO93V0j/FEU0ouH6d6Im4a',b'$2b$06$05fbAFxla7IeT886lZ1rF.',1
BR32013,1,,Bree,Rich,bree.rich32013@example.com,b'$2b$06$qaQZP8qLtkX2p3NyxjGr8eS8ggJy8/Y7IK212C6vEqwAZe7Fg/it2',b'$2b$06$qaQZP8qLtkX2p3NyxjGr8e',3
AG35349,1,,Arsenio,Gardner,arsenio.gardner35349@example.com,b'$2b$06$rZpS3DuinEzp1MaS6u2Ga.UTWuU6dDvdqDZ7kVzJ3AS4J7BnLQDnS',b'$2b$06$rZpS3DuinEzp1MaS6u2Ga.',5
CJ45865,1,,Carla,Joyner,carla.joyner45865@example.com,b'$2b$06$MNA2JI0peI.92ZT62eBUXOZshNNM/4TbIo3zARliWrnQtzrZnufcG',b'$2b$06$MNA2JI0peI.92ZT62eBUXO',5
NM59835,1,,Naomi,Mcintosh,naomi.mcintosh59835@example.com,b'$2b$06$zrXJ9Si6RzJQ.A63C0ygreacS4tzhZ2Jjx0aFjqHRs3GRWzU/tQAG',b'$2b$06$zrXJ9Si6RzJQ.A63C0ygre',3
SP36219,1,,Shad,Pollard,shad.pollard36219@example.com,b'$2b$06$ckLBm1G1vSicjcbT.F34t.ku3pr4EkpOh0ydK8Cn3dju6bUmSXQGO',b'$2b$06$ckLBm1G1vSicjcbT.F34t.',3
MJ24050,1,5,Madeline,Juarez,madeline.juarez24050@example.com,b'$2b$06$Qoo4kX3zVuS4ynp5SZawDO5nJ47rE6Fd7fhhBnjTvVY52V2Y7oEby',b'$2b$06$Qoo4kX3zVuS4ynp5SZawDO',2
AM79330,1,,Alvin,Miller,alvin.miller79330@example.com,b'$2b$06$soE3NyvaqvcK71WRT5OYq.zvHG66MbX443NW7/scmSgkP1OSjYLdW',b'$2b$06$soE3NyvaqvcK71WRT5OYq.',1
MM20719,1,,Maxwell,Madden,maxwell.madden20719@example.com,b'$2b$06$G/9TtmAbpraCe.AZv0zW2OuCbA2rUSnYuWEHVOtakBkHlDrVNePYK',b'$2b$06$G/9TtmAbpraCe.AZv0zW2O',3
KF77347,1,,Karly,Floyd,karly.floyd77347@example.com,b'$2b$06$KOxUF.RinsHzOFXnQUfEPuInOi.MERLzCWnn6etccBYHTr/fZ6dPC',b'$2b$06$KOxUF.RinsHzOFXnQUfEPu',2
RN31253,1,,Rashad,Nielsen,rashad.nielsen31253@example.com,b'$2b$06$GIEA551t6NBm9q2ZQiWpxOeOgrDELSAUjy2183fxpXUmveBmw6ary',b'$2b$06$GIEA551t6NBm9q2ZQiWpxO',4
ZC53336,1,,Zena,Calhoun,zena.calhoun53336@example.com,b'$2b$06$d9V.xk3tIcI8ZoBb/ZvPF.rdvdbpeJfi2IRk2Rr67mivOpyjeTJFi',b'$2b$06$d9V.xk3tIcI8ZoBb/ZvPF.',2
MG44043,1,,Madonna,Guthrie,madonna.guthrie44043@example.com,b'$2b$06$ulSlDXp7u1n9VUbiP9l07eIzEoC1XLTqLEuhK7yZpZU.EjiOxD8ya',b'$2b$06$ulSlDXp7u1n9VUbiP9l07e',5
SD75044,1,,Shoshana,Davidson,shoshana.davidson75044@example.com,b'$2b$06$E7.JdJgmYNIhAFscvC07teWSoi5yd.Ls42p0c96gyCpjRxVCASu3a',b'$2b$06$E7.JdJgmYNIhAFscvC07te',1
BG91525,1,,Brenda,Guy,brenda.guy91525@example.com,b'$2b$06$LctIY42Shh4sZyFB8GE36OUmNMeQX0rwgI.RO9vo09RsKJXubIw36',b'$2b$06$LctIY42Shh4sZyFB8GE36O',5
UR59918,1,,Upton,Richards,upton.richards59918@example.com,b'$2b$06$h4KS47TvJL5dOyEWrsCZg.yDW.vo08eB.6YdjmNLRoNbOATdo5WA6',b'$2b$06$h4KS47TvJL5dOyEWrsCZg.',2
YC40485,1,,Yoshio,Crane,yoshio.crane40485@example.com,b'$2b$06$YOC.eDHpVJM9STUf1c.5S./HkCprTXowyPgZIua5b9sI0zdSARsYK',b'$2b$06$YOC.eDHpVJM9STUf1c.5S.',2
BR55555,1,,Brennan,Rollins,brennan.rollins55555@example.com,b'$2b$06$rBl1SKgSBl191Q9Z8HSmAuD0XqWDlFgQGhElUYfs.wyGKUoJoOfTC',b'$2b$06$rBl1SKgSBl191Q9Z8HSmAu',2
BS37385,1,,Baxter,Stewart,baxter.stewart37385@example.com,b'$2b$06$EtN/QHHHlvhHGCMOP/KLX.6txnF1XyLQgFr.RPoNDnNxi8oW8AMhy',b'$2b$06$EtN/QHHHlvhHGCMOP/KLX.',5
NS01279,1,24,Nayda,Schultz,nayda.schultz01279@example.com,b'$2b$06$82muWsnUXZNRyUlkkEKw2.40Pyidp/r1GCTBW3lKK8PBfmP4hxxCm',b'$2b$06$82muWsnUXZNRyUlkkEKw2.',5
OK31761,1,,Olivia,Kirkland,olivia.kirkland31761@example.com,b'$2b$06$Ms75BOQdIDz2YD4NVbAmLuxD4sLnw6YQ7.yyIGpRR37dJZz1Ba8gG',b'$2b$06$Ms75BOQdIDz2YD4NVbAmLu',1
BG85316,1,,Brendan,Goodman,brendan.goodman85316@example.com,b'$2b$06$Z7J1xy8WcAIpigS68udLxuTS6Kv1RuoIVsSzQ629B3jmGOPDoXFFi',b'$2b$06$Z7J1xy8WcAIpigS68udLxu',1
BR12265,1,,Blossom,Rodriguez,blossom.rodriguez12265@example.com,b'$2b$06$4S6mD7o5MmIO5UU8jI2Beu.5mBzk7NPviJFYCfVWFbciUdsed/RvK',b'$2b$06$4S6mD7o5MmIO5UU8jI2Beu',4
NC38863,1,,Nigel,Castaneda,nigel.castaneda38863@example.com,b'$2b$06$r6YXSVtAqrx.YgcGz4iMJeDK4TEqgWB.xFwro3wAXF.qBtmgMMiOu',b'$2b$06$r6YXSVtAqrx.YgcGz4iMJe',5
BF49754,1,,Brett,Farmer,brett.farmer49754@example.com,b'$2b$06$p8S0YC/wNL2HiFGXmMO7J.vkMxxvcHBfhbiXwCyqha640k6FBVw.C',b'$2b$06$p8S0YC/wNL2HiFGXmMO7J.',2
RF84850,1,,Ramona,Ferrell,ramona.ferrell84850@example.com,b'$2b$06$fk5ZNgwIRdIvAEg4Kd6AieC.k.A8aCh6GpvMSgiBeqhMKcDIEkzK.',b'$2b$06$fk5ZNgwIRdIvAEg4Kd6Aie',3
FB81089,1,,Frances,Buckley,frances.buckley81089@example.com,b'$2b$06$UZ7iGHYHAEmNjr.U1C16CumIsZbccbQDkumrZiJrA/bNb8yyb/eMa',b'$2b$06$UZ7iGHYHAEmNjr.U1C16Cu',4
GC48422,1,,Germaine,Carter,germaine.carter48422@example.com,b'$2b$06$cdTcADd.bLtEgA6Dh1rAMeNQZNip/3VRUdaNFiPiWvR2DJa6DEeEK',b'$2b$06$cdTcADd.bLtEgA6Dh1rAMe',2
LG09930,1,,Lee,Gordon,lee.gordon09930@example.com,b'$2b$06$pWBzzpRx.SV6VfLeSKLzoObXtkm8Wk..2RkSHl/Jul7VHcPF00LsK',b'$2b$06$pWBzzpRx.SV6VfLeSKLzoO',5
KS44725,2,,Knox,Stuart,knox.stuart44725@example.com,b'$2b$06$CH43Km7/RTdh.36l0Ve.hu.AXg4Nankub4IexeEZhV38ESCHpAtmW',b'$2b$06$CH43Km7/RTdh.36l0Ve.hu',5
MG27650,2,,Marny,Glover,marny.glover27650@example.com,b'$2b$06$k5phG8Wlf7Z7eZQenlqU/.rdwhONlS7IzUr0Xm/j2eEaqBwEYaAD.',b'$2b$06$k5phG8Wlf7Z7eZQenlqU/.',3
KO47883,2,,Kathleen,O'donnell,kathleen.o'donnell47883@example.com,b'$2b$06$XzPUuzK6gv6DreK0PNsfnuO8M2pfVqpiTBa2oL5PyOb3/YK8bBlwK',b'$2b$06$XzPUuzK6gv6DreK0PNsfnu',4
AH72206,2,,Alisa,Head,alisa.head72206@example.com,b'$2b$06$BT2lpVe9Tmw5/nygcTan/ubj6G6Jcgje8goQYDKO4nvy.XCTVqHFq',b'$2b$06$BT2lpVe9Tmw5/nygcTan/u',1
GD96613,2,,Geraldine,Duran,geraldine.duran96613@example.com,b'$2b$06$dSk4UAyL7zoxsTNYNofrr.SHWUUlQCNVtOXgeTD/0Shh3KdAJoCT6',b'$2b$06$dSk4UAyL7zoxsTNYNofrr.',5
JB72410,2,,Jelani,Burns,jelani.burns72410@example.com,b'$2b$06$fCRLDIs2PfWTF7lFUpi4LeueLO5U/jLFNXlmE9DKo13zCd00taybO',b'$2b$06$fCRLDIs2PfWTF7lFUpi4Le',1
BC70458,2,,Brett,Carpenter,brett.carpenter70458@example.com,b'$2b$06$iABxE3JdnNiwoqQ4pR5yvO92ML9IpwbpTwW2.BgeexmtIj7/bX0iO',b'$2b$06$iABxE3JdnNiwoqQ4pR5yvO',5
NM18766,2,,Nigel,Mays,nigel.mays18766@example.com,b'$2b$06$4F7gN4h0zT2lgY3czai2GuquuJNyFnvCKwHtj9IovE8AotUatzNtC',b'$2b$06$4F7gN4h0zT2lgY3czai2Gu',1
DC16796,2,,Duncan,Carter,duncan.carter16796@example.com,b'$2b$06$FZ339.0DNUcTWvku/./Sye.SV96WtIGS4hkwFGGf67YlsB5C7kZKS',b'$2b$06$FZ339.0DNUcTWvku/./Sye',3
NW91552,2,,Naomi,Wade,naomi.wade91552@example.com,b'$2b$06$87xsU9UgrRx3XDHCR5xLq.bBPL31ynW.dm437.i8yqdeZV4KkQQTS',b'$2b$06$87xsU9UgrRx3XDHCR5xLq.',5
CL56508,2,,Constance,Larsen,constance.larsen56508@example.com,b'$2b$06$4WlV0MDt7lSMYIFAK6yxfO.PBPp5yzJrROsoFkJveQuypn4Res676',b'$2b$06$4WlV0MDt7lSMYIFAK6yxfO',3
LI33725,2,,Leandra,Ingram,leandra.ingram33725@example.com,b'$2b$06$Sg31ER/dXY8hcQSvbXSBruAblyKNgrhavdIiGjQasDIdgf19CYWmm',b'$2b$06$Sg31ER/dXY8hcQSvbXSBru',2
PH89276,2,,Paul,Houston,paul.houston89276@example.com,b'$2b$06$0KfxjNnmPIt7bGA6bH2yEuTCD9W/kbI.jNFEutqSwWRP4FWnWVaK6',b'$2b$06$0KfxjNnmPIt7bGA6bH2yEu',5
LA11884,2,,Len,Alexander,len.alexander11884@example.com,b'$2b$06$o4g1jZFcVUxAvLmpCwtFPu9HAKTtMu12Xn4.bHMbF9HXeZ.IO3e96',b'$2b$06$o4g1jZFcVUxAvLmpCwtFPu',1
EW45265,2,,Eric,Weber,eric.weber45265@example.com,b'$2b$06$os21MbQC8z44GnwhJRg3IOuPMfZcgRiaKZwqSKHP6nYtihnwOrlt.',b'$2b$06$os21MbQC8z44GnwhJRg3IO',5
KD08378,2,,Kieran,Dean,kieran.dean08378@example.com,b'$2b$06$dxOIBvvG9htzezPyuqN7G.o3EmziOVDiIARHqeP2wAC3eW6sxa05a',b'$2b$06$dxOIBvvG9htzezPyuqN7G.',4
VH42759,2,,Vance,Harris,vance.harris42759@example.com,b'$2b$06$SHrbcWFUfT6Kdd09GNZhnumg59QcSMcSfG8X0sk9noIGLvYnLTKO.',b'$2b$06$SHrbcWFUfT6Kdd09GNZhnu',2
EO73513,2,,Ethan,Ortega,ethan.ortega73513@example.com,b'$2b$06$OgtKlPJ1ayHZIYzH7eXJp.2TQkq0vRY7ODej7ANQjZ/2fb0bi03Z6',b'$2b$06$OgtKlPJ1ayHZIYzH7eXJp.',2
RH34039,2,,Rylee,Hancock,rylee.hancock34039@example.com,b'$2b$06$Hm3dF/pzODMv1L6ZX6LpHeY7fW7EuyZD9HbvuBdo8F73DE0hPwdv.',b'$2b$06$Hm3dF/pzODMv1L6ZX6LpHe',5
KG57107,2,,Kelly,Glass,kelly.glass57107@example.com,b'$2b$06$JfbY/Dnh0Ac4.KzJfvdPfOpemj7LY5wTLBv1U5A9ekBEiloobV3ie',b'$2b$06$JfbY/Dnh0Ac4.KzJfvdPfO',3
MN69652,2,,Martha,Nelson,martha.nelson69652@example.com,b'$2b$06$Ls6u/o/Asip6z8QnM8FAIeuuyu700JnYts0XOByYx9Ku95JzpXFWq',b'$2b$06$Ls6u/o/Asip6z8QnM8FAIe',5
JP65107,2,,Jelani,Poole,jelani.poole65107@example.com,b'$2b$06$2mmyGEoUNLCrYyxaPPEf/u/vTTzsPUgHSMtZ.oW0DHXAFEOmqfmX6',b'$2b$06$2mmyGEoUNLCrYyxaPPEf/u',3
SB47026,2,,Shad,Bonner,shad.bonner47026@example.com,b'$2b$06$24qepHToFcDNHMU2O88GmOJRke6OWrEZO2c9.U1LpAdsypDrwO6y.',b'$2b$06$24qepHToFcDNHMU2O88GmO',1
RC89399,2,,Remedios,Cooley,remedios.cooley89399@example.com,b'$2b$06$KLwO.WyQQaaucEQli1tyiOn5ceSVKB75B48dVO7xxO7WE5HUjE/Ui',b'$2b$06$KLwO.WyQQaaucEQli1tyiO',2
BF46742,2,,Britanney,Flores,britanney.flores46742@example.com,b'$2b$06$uhWsVuMbPqFchly9l8BfGeczN7XJVRn.fzjGFFnOyVdDCa.vU7FG6',b'$2b$06$uhWsVuMbPqFchly9l8BfGe',5
IJ37057,2,,Isadora,Johnson,isadora.johnson37057@example.com,b'$2b$06$h.t5ypKFKGf2zVkZC3jXq.F9imsIFsa6JJALSBvrScDKUYhgH3DiS',b'$2b$06$h.t5ypKFKGf2zVkZC3jXq.',3
HW96976,2,,Hillary,Weaver,hillary.weaver96976@example.com,b'$2b$06$Vbnmv6IBfu3CHMIbRgLQmOQYBBBSsYrzKA9FHseJ8IZDADNDfu/BW',b'$2b$06$Vbnmv6IBfu3CHMIbRgLQmO',1
LB15114,2,,Lee,Bryan,lee.bryan15114@example.com,b'$2b$06$v3tyYXvLbsCT2//Ou5QCaeXGRAlko1vJhfy3xdwJf/.hLp.PZWj1S',b'$2b$06$v3tyYXvLbsCT2//Ou5QCae',4
RS96185,2,,Rafael,Soto,rafael.soto96185@example.com,b'$2b$06$8UJv3i4Tkxxodm6UAZH68Oig2cnDw7EgvPl5BSchLyjMO893P7/eK',b'$2b$06$8UJv3i4Tkxxodm6UAZH68O',5
MG84926,2,,Macey,Gordon,macey.gordon84926@example.com,b'$2b$06$VCmUatO8zeSABNaA1d8mI.o19cVWqASFWcr9UIAKk0PTOGcwiCYYW',b'$2b$06$VCmUatO8zeSABNaA1d8mI.',1
PB71894,2,,Palmer,Burt,palmer.burt71894@example.com,b'$2b$06$rywd9rkRieBR1uv31K94quC5D65WO7HvWPfzNTgBuWIJcITkhA5yu',b'$2b$06$rywd9rkRieBR1uv31K94qu',3
